game,date,date_display,draw_id,draw_slot,weekday,hour,numbers,bonus,source,source_csv,archive_segment,my_million,jackpot
crescendo,2025-11-08,08/11/2025,25309,,,13:00:00,25 7 21 19 9 23 24 18 2 8,A,,C:\projets\jeux\archives\crescendo\crescendo_202511\crescendo_202511.csv,crescendo_202511,,
crescendo,2025-11-08,08/11/2025,25310,,,14:00:00,22 24 14 12 15 2 23 5 6 18,A,,C:\projets\jeux\archives\crescendo\crescendo_202511\crescendo_202511.csv,crescendo_202511,,
crescendo,2025-11-08,08/11/2025,25311,,,15:00:00,11 15 2 1 10 22 7 21 16 12,S,,C:\projets\jeux\archives\crescendo\crescendo_202511\crescendo_202511.csv,crescendo_202511,,
crescendo,2025-11-08,08/11/2025,25312,,,16:00:00,11 25 17 6 19 2 13 3 16 10,E,,C:\projets\jeux\archives\crescendo\crescendo_202511\crescendo_202511.csv,crescendo_202511,,
crescendo,2025-11-08,08/11/2025,25313,,,17:00:00,19 1 15 4 21 9 8 10 3 14,M,,C:\projets\jeux\archives\crescendo\crescendo_202511\crescendo_202511.csv,crescendo_202511,,
crescendo,2025-11-08,08/11/2025,25314,,,18:00:00,11 9 4 24 6 16 25 20 18 13,S,,C:\projets\jeux\archives\crescendo\crescendo_202511\crescendo_202511.csv,crescendo_202511,,
crescendo,2025-11-08,08/11/2025,25315,,,19:00:00,17 20 5 8 14 15 6 24 19 13,E,,C:\projets\jeux\archives\crescendo\crescendo_202511\crescendo_202511.csv,crescendo_202511,,
crescendo,2025-11-15,15/11/2025,25316,,,13:00:00,22 21 20 25 1 13 12 17 24 5,M,,C:\projets\jeux\archives\crescendo\crescendo_202511\crescendo_202511.csv,crescendo_202511,,
crescendo,2025-11-15,15/11/2025,25317,,,14:00:00,20 18 2 7 25 3 6 22 8 4,A,,C:\projets\jeux\archives\crescendo\crescendo_202511\crescendo_202511.csv,crescendo_202511,,
crescendo,2025-11-15,15/11/2025,25318,,,15:00:00,22 23 13 16 7 24 8 5 17 20,E,,C:\projets\jeux\archives\crescendo\crescendo_202511\crescendo_202511.csv,crescendo_202511,,
