game,date,date_display,draw_id,draw_slot,weekday,hour,numbers,bonus,source,source_csv,archive_segment,my_million,jackpot
euromillions,2004-02-13,20040213,2004001,,VE,,32 16 29 41 36,9 7,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-02-20,20040220,2004002,,VE,,13 50 47 7 39,2 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-02-27,20040227,2004003,,VE,,37 19 18 14 31,5 4,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-03-05,20040305,2004004,,VE,,39 37 4 7 33,5 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-03-12,20040312,2004005,,VE,,44 47 15 28 24,4 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-03-19,20040319,2004006,,VE,,42 45 33 37 36,9 4,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-03-26,20040326,2004007,,VE,,23 43 3 4 10,2 4,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-04-02,20040402,2004008,,VE,,4 24 12 36 27,2 9,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-04-09,20040409,2004009,,VE,,23 19 10 1 4,2 8,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-04-16,20040416,2004010,,VE,,28 40 14 15 35,3 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-04-23,20040423,2004011,,VE,,45 21 6 49 10,5 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-04-30,20040430,2004012,,VE,,27 16 6 5 23,7 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-05-07,20040507,2004013,,VE,,38 36 15 16 21,1 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-05-14,20040514,2004014,,VE,,32 3 1 39 21,2 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-05-21,20040521,2004015,,VE,,37 39 29 15 49,4 9,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-05-28,20040528,2004016,,VE,,41 44 6 35 11,6 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-06-04,20040604,2004017,,VE,,41 42 34 13 9,7 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-06-11,20040611,2004018,,VE,,7 2 47 10 8,1 7,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-06-18,20040618,2004019,,VE,,28 2 40 23 43,6 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-06-25,20040625,2004020,,VE,,30 21 35 3 34,1 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-07-02,20040702,2004021,,VE,,4 28 24 23 34,1 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-07-09,20040709,2004022,,VE,,44 19 5 12 2,8 9,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-07-16,20040716,2004023,,VE,,26 50 31 24 38,8 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-07-23,20040723,2004024,,VE,,10 27 7 34 31,8 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-07-30,20040730,2004025,,VE,,50 10 9 19 37,6 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-08-06,20040806,2004026,,VE,,5 35 44 15 24,6 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-08-13,20040813,2004027,,VE,,20 27 41 43 50,5 8,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-08-20,20040820,2004028,,VE,,27 10 35 9 6,6 8,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-08-27,20040827,2004029,,VE,,28 1 44 22 11,1 9,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-09-03,20040903,2004030,,VE,,14 12 15 34 8,7 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
