game,date,date_display,draw_id,draw_slot,weekday,hour,numbers,bonus,source,source_csv,archive_segment,my_million,jackpot
loto,1976-05-19,19760519,1976001,1,ME,,31 15 33 27 36 48,34,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
loto,1976-06-03,19760603,1976002,1,JE,,10 26 42 1 4 14,31,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
loto,1976-06-10,19760610,1976003,1,JE,,44 16 47 10 15 1,27,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
loto,1976-06-16,19760616,1976004,1,ME,,2 3 35 13 1 28,49,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
loto,1976-06-23,19760623,1976005,1,ME,,30 22 11 9 23 47,49,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
loto,1976-06-30,19760630,1976006,1,ME,,10 17 25 35 5 46,1,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
loto,1976-07-07,19760707,1976007,1,ME,,27 32 34 19 45 5,15,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
loto,1976-07-15,19760715,1976008,1,JE,,42 5 29 28 27 41,8,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
loto,1976-07-21,19760721,1976009,1,ME,,15 2 31 19 27 43,5,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
loto,1976-07-28,19760728,1976010,1,ME,,40 49 16 37 35 10,7,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
loto,1976-08-05,19760805,1976011,1,JE,,47 37 25 6 4 45,42,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
loto,1976-08-11,19760811,1976012,1,ME,,8 42 33 31 17 9,26,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
loto,1976-08-18,19760818,1976013,1,ME,,21 9 3 24 34 1,48,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
loto,1976-08-25,19760825,1976014,1,ME,,32 11 7 8 38 34,48,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
loto,1976-09-01,19760901,1976015,1,ME,,27 33 42 8 26 16,25,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
loto,1976-09-08,19760908,1976016,1,ME,,25 30 22 3 38 17,13,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
loto,1976-09-15,19760915,1976017,1,ME,,27 7 39 3 8 33,28,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
loto,1976-09-22,19760922,1976018,1,ME,,35 24 10 36 9 32,11,,C:\projets\jeux\archives\loto\loto\loto.csv,loto,,
